2021-10-26 14:39:20.942 | INFO     |  5777 | __main__:main:50 | Starting message bus service...
2021-10-26 14:39:20.943 | INFO     |  5777 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-26 14:39:20.950 | INFO     |  5777 | __main__:on_ready:37 | Message bus service started!
2021-10-26 14:39:20.961 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.75ms
2021-10-26 14:39:20.964 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.37ms
2021-10-26 14:39:21.045 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.52ms
2021-10-26 14:39:21.162 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.72ms
2021-10-26 14:39:25.883 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.54ms
2021-10-26 14:40:32.403 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.46ms
2021-10-26 14:40:32.460 | INFO     |  5777 | tornado.access | 101 GET /core (127.0.0.1) 0.43ms
2021-10-26 14:41:12.718 | INFO     |  5777 | __main__:on_stopping:45 | Message bus is shutting down...
