2021-10-29 07:06:32.782 | INFO     |  5319 | mycroft.messagebus.load_config:load_message_bus_config:33 | Loading message bus configs
2021-10-29 07:06:32.792 | INFO     |  5319 | mycroft_bus_client.client.client | Connected
2021-10-29 07:06:32.793 | INFO     |  5319 | mycroft.util.process_utils:start_message_bus_client:155 | Connected to messagebus
2021-10-29 07:06:32.800 | INFO     |  5319 | mycroft.skills.msm_wrapper:create_msm:96 | Acquiring lock to instantiate MSM
2021-10-29 07:06:34.459 | INFO     |  5319 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-29 07:06:35.080 | INFO     |  5319 | mycroft.skills.msm_wrapper:create_msm:112 | Releasing MSM instantiation lock.
2021-10-29 07:06:35.081 | INFO     |  5319 | mycroft.skills.skill_updater:_log_next_download_time:267 | Next scheduled skill update: 2021-10-29 07:06:34.080841
2021-10-29 07:06:35.081 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-pairing
2021-10-29 07:06:35.793 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:35.802 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-pairing
2021-10-29 07:06:35.802 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:35.803 | INFO     |  5319 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-pairing.mycroftai
2021-10-29 07:06:35.809 | INFO     |  5319 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-29 07:06:35.823 | INFO     |  5319 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-pairing.mycroftai
2021-10-29 07:06:35.829 | INFO     |  5319 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-pairing.mycroftai/settings.json
2021-10-29 07:06:35.830 | INFO     |  5319 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-pairing.mycroftai loaded successfully
2021-10-29 07:06:35.830 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-volume
2021-10-29 07:06:36.449 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:36.460 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-29 07:06:37.293 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-volume
2021-10-29 07:06:37.293 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:37.295 | INFO     |  5319 | mycroft.skills.skill_loader:load:185 | ATTEMPTING TO LOAD SKILL: mycroft-volume.mycroftai
2021-10-29 07:06:37.310 | INFO     |  5319 | mycroft.skills.settings:get_local_settings:83 | /opt/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-29 07:06:37.410 | ERROR    |  5319 | VolumeSkill | Couldn't allocate mixer, ALSAAudioError('No such file or directory [default]')
2021-10-29 07:06:40.451 | INFO     |  5319 | mycroft.skills.skill_loader:_check_for_first_run:324 | First run of mycroft-volume.mycroftai
2021-10-29 07:06:40.452 | INFO     |  5319 | mycroft.skills.settings:save_settings:116 | Skill settings successfully saved to /home/runner/.config/mycroft/skills/mycroft-volume.mycroftai/settings.json
2021-10-29 07:06:40.453 | INFO     |  5319 | mycroft.skills.skill_loader:_communicate_load_status:344 | Skill mycroft-volume.mycroftai loaded successfully
2021-10-29 07:06:40.454 | INFO     |  5319 | __main__:on_started:177 | Skills service is starting up.
2021-10-29 07:06:40.543 | INFO     |  5319 | __main__:_update_system:154 | Attempting system update...
2021-10-29 07:06:43.545 | INFO     |  5319 | mycroft.enclosure.display_manager:_write_data:70 | Display Manager is creating /tmp/mycroft/ipc/managers/disp_info
2021-10-29 07:06:43.547 | INFO     |  5319 | __main__:_ensure_device_is_paired:133 | Device not paired, invoking the pairing skill
2021-10-29 07:06:43.548 | INFO     |  5319 | __main__:on_alive:181 | Skills service is alive.
2021-10-29 07:06:43.549 | INFO     |  5319 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-29 07:06:44.049 | INFO     |  5319 | PairingSkill | Communicating account URL to user
2021-10-29 07:06:44.794 | WARNING  |  5319 | msm.mycroft_skills_manager | No such default skill: mycroft-pandora
2021-10-29 07:06:44.795 | INFO     |  5319 | mycroft.skills.skill_manager:run:234 | Not all default skills are installed, performing skill update...
2021-10-29 07:06:44.795 | INFO     |  5319 | mycroft.skills.skill_updater:update_skills:149 | Beginning skill update...
2021-10-29 07:06:44.878 | INFO     |  5319 | msm.mycroft_skills_manager | building SkillEntry objects for all skills
2021-10-29 07:06:45.300 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:45.336 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-unknown
2021-10-29 07:06:45.340 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-wolfram-alpha
2021-10-29 07:06:45.348 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-alarm
2021-10-29 07:06:45.355 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-audio-record
2021-10-29 07:06:45.357 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-configuration
2021-10-29 07:06:45.363 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-date-time
2021-10-29 07:06:45.380 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/fallback-duckduckgo
2021-10-29 07:06:45.398 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-ip
2021-10-29 07:06:45.406 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-installer
2021-10-29 07:06:45.416 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-hello-world
2021-10-29 07:06:45.422 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-naptime
2021-10-29 07:06:45.426 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-npr-news
2021-10-29 07:06:45.434 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-personal
2021-10-29 07:06:45.445 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-playback-control
2021-10-29 07:06:45.455 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-singing
2021-10-29 07:06:45.470 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-reminder
2021-10-29 07:06:45.484 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-joke
2021-10-29 07:06:46.245 | ERROR    |  5319 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant.mycroftai: MergeConflict
2021-10-29 07:06:46.247 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-speak
2021-10-29 07:06:47.012 | INFO     |  5319 | msm.skill_entry | Nothing new for mycroft-volume
2021-10-29 07:06:47.019 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.029 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-volume
2021-10-29 07:06:47.265 | INFO     |  5319 | msm.skill_entry | Nothing new for mycroft-pairing
2021-10-29 07:06:47.307 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.360 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-spelling
2021-10-29 07:06:47.408 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.439 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-ip
2021-10-29 07:06:47.550 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.642 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.670 | INFO     |  5319 | msm.skill_entry | Successfully installed fallback-unknown
2021-10-29 07:06:47.674 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:47.682 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-stop
2021-10-29 07:06:47.714 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.730 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-joke
2021-10-29 07:06:47.732 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.743 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.745 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.745 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.767 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-playback-control
2021-10-29 07:06:47.774 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:47.775 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-support
2021-10-29 07:06:47.849 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.868 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-naptime
2021-10-29 07:06:47.868 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:47.869 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/mycroft-timer
2021-10-29 07:06:47.968 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:47.981 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-hello-world
2021-10-29 07:06:47.982 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:47.984 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-weather
2021-10-29 07:06:48.014 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-audio-record
2021-10-29 07:06:48.054 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-speak
2021-10-29 07:06:48.054 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:48.055 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-version-checker
2021-10-29 07:06:48.056 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.064 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.066 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.068 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.078 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-fallback-duck-duck-go
2021-10-29 07:06:48.113 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.167 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-reminder
2021-10-29 07:06:48.167 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:48.168 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/mycroftai/skill-wiki
2021-10-29 07:06:48.176 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for fallback-wolfram-alpha
2021-10-29 07:06:48.185 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-date-time
2021-10-29 07:06:48.190 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-npr-news
2021-10-29 07:06:48.210 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-personal
2021-10-29 07:06:48.210 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:48.211 | INFO     |  5319 | msm.skill_entry | Downloading skill: https://github.com/MycroftAI/skill-query
2021-10-29 07:06:48.216 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.244 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-configuration
2021-10-29 07:06:48.246 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-installer
2021-10-29 07:06:48.322 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.375 | INFO     |  5319 | msm.skill_entry | Successfully installed mycroft-spelling
2021-10-29 07:06:48.375 | INFO     |  5319 | msm.mycroft_skills_manager | invalidating skills cache
2021-10-29 07:06:48.384 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.454 | INFO     |  5319 | msm.skill_entry | Installing requirements.txt for mycroft-alarm
2021-10-29 07:06:48.742 | ERROR    |  5319 | msm.mycroft_skills_manager | Error running install_or_update on homeassistant: MergeConflict
2021-10-29 07:06:48.930 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
2021-10-29 07:06:48.953 | INFO     |  5319 | msm.skill_entry | Installing system requirements...
