"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 03 06:13:08 GMT 2021","Sun Oct 03 06:13:09 GMT 2021","397","","","","","","decrease light brightness",""
"passed","Sun Oct 03 06:12:56 GMT 2021","Sun Oct 03 06:12:57 GMT 2021","384","","","","","","turn on switch",""
"passed","Sun Oct 03 06:12:57 GMT 2021","Sun Oct 03 06:12:58 GMT 2021","633","","","","","","toggle on switch",""
"passed","Sun Oct 03 06:12:57 GMT 2021","Sun Oct 03 06:12:57 GMT 2021","390","","","","","","toggle off switch",""
"passed","Sun Oct 03 06:13:06 GMT 2021","Sun Oct 03 06:13:07 GMT 2021","759","","","","","","turn on light",""
"passed","Sun Oct 03 06:13:07 GMT 2021","Sun Oct 03 06:13:08 GMT 2021","640","","","","","","increase light brightness",""
"passed","Sun Oct 03 06:12:53 GMT 2021","Sun Oct 03 06:12:56 GMT 2021","3782","","","","","","read sensor",""
"passed","Sun Oct 03 06:13:28 GMT 2021","Sun Oct 03 06:13:28 GMT 2021","328","","","","","","add item",""
"passed","Sun Oct 03 06:13:17 GMT 2021","Sun Oct 03 06:13:27 GMT 2021","10683","","","","","","tracker",""
"passed","Sun Oct 03 06:12:58 GMT 2021","Sun Oct 03 06:13:06 GMT 2021","8607","","","","","","turn off switch",""
"passed","Sun Oct 03 06:13:09 GMT 2021","Sun Oct 03 06:13:10 GMT 2021","1013","","","","","","turn off light",""
"passed","Sun Oct 03 06:13:27 GMT 2021","Sun Oct 03 06:13:28 GMT 2021","341","","","","","","set climate temperature",""
"passed","Sun Oct 03 06:13:07 GMT 2021","Sun Oct 03 06:13:07 GMT 2021","343","","","","","","set light brightness",""
"passed","Sun Oct 03 06:13:10 GMT 2021","Sun Oct 03 06:13:17 GMT 2021","7037","","","","","","triger automation",""
