"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 19:28:41 GMT 2021","Thu Oct 14 19:28:42 GMT 2021","419","","behave","","","","decrease light brightness",""
"passed","Thu Oct 14 19:28:31 GMT 2021","Thu Oct 14 19:28:32 GMT 2021","369","","behave","","","","toggle on switch",""
"passed","Thu Oct 14 19:29:03 GMT 2021","Thu Oct 14 19:29:04 GMT 2021","338","","behave","","","","set climate temperature",""
"passed","Thu Oct 14 19:29:18 GMT 2021","Thu Oct 14 19:29:18 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl",""
"passed","Thu Oct 14 19:28:31 GMT 2021","Thu Oct 14 19:28:31 GMT 2021","337","","behave","","","","toggle off switch",""
"failed","Thu Oct 14 19:28:10 GMT 2021","Thu Oct 14 19:28:30 GMT 2021","20608","","behave","","","","read sensor",""
"passed","Thu Oct 14 19:28:42 GMT 2021","Thu Oct 14 19:28:43 GMT 2021","437","","behave","","","","triger automation",""
"passed","Thu Oct 14 19:29:18 GMT 2021","Thu Oct 14 19:29:18 GMT 2021","0","unittests","test_haclient","TestHaClient","","","test_mock_ssl_no_port",""
"passed","Thu Oct 14 19:29:04 GMT 2021","Thu Oct 14 19:29:04 GMT 2021","330","","behave","","","","add item",""
"passed","Thu Oct 14 19:28:42 GMT 2021","Thu Oct 14 19:28:42 GMT 2021","592","","behave","","","","turn off light",""
"passed","Thu Oct 14 19:28:41 GMT 2021","Thu Oct 14 19:28:41 GMT 2021","580","","behave","","","","increase light brightness",""
"passed","Thu Oct 14 19:28:30 GMT 2021","Thu Oct 14 19:28:31 GMT 2021","395","","behave","","","","turn on switch",""
"passed","Thu Oct 14 19:29:18 GMT 2021","Thu Oct 14 19:29:18 GMT 2021","20","unittests","test_haclient","TestHaClient","","","test_light_nossl",""
"passed","Thu Oct 14 19:28:33 GMT 2021","Thu Oct 14 19:28:40 GMT 2021","7981","","behave","","","","turn on light",""
"passed","Thu Oct 14 19:29:18 GMT 2021","Thu Oct 14 19:29:18 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_toggle_lights",""
"passed","Thu Oct 14 19:28:32 GMT 2021","Thu Oct 14 19:28:33 GMT 2021","1010","","behave","","","","turn off switch",""
"passed","Thu Oct 14 19:28:40 GMT 2021","Thu Oct 14 19:28:41 GMT 2021","346","","behave","","","","set light brightness",""
"failed","Thu Oct 14 19:28:43 GMT 2021","Thu Oct 14 19:29:03 GMT 2021","20606","","behave","","","","tracker",""
"passed","Thu Oct 14 19:29:18 GMT 2021","Thu Oct 14 19:29:18 GMT 2021","1","unittests","test_haclient","TestHaClient","","","test_broke_entity",""
